Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[2L, 22L, 111L, 156L, 240L]",0.43,MLR,0.25,-0.02,0.32,-0.04
"[95L, 150L, 234L, 303L]",0.44,MLR,0.13,-0.07,0.36,0.05
"[2L, 226L, 261L, 315L, 336L]",0.44,MLR,0.21,0.02,0.18,-0.08
"[145L, 173L, 241L, 276L, 282L, 308L]",0.45,MLR,0.2,-0.06,0.28,-0.29
"[20L, 123L, 202L, 328L]",0.47,MLR,0.15,0,0.08,-0.24
"[58L, 175L, 179L, 242L, 247L, 321L]",0.48,MLR,0.27,-0.07,0.12,-0.11
"[13L, 57L, 64L, 72L, 95L, 269L, 337L]",0.49,MLR,0.33,0.03,-0.09,0.33
"[8L, 38L, 84L, 91L, 170L, 175L, 209L, 325L]",0.49,MLR,0.42,-0.2,0.29,0.24
"[125L, 128L, 133L, 193L, 262L, 296L, 322L]",0.5,MLR,0.29,-0.04,-0.02,0.04
"[38L, 74L, 141L, 161L, 225L, 272L, 323L]",0.51,MLR,0.21,-0.1,0.04,0.11
"[88L, 105L, 125L, 128L, 131L, 147L, 155L, 175L, 177L, 249L, 297L, 342L]",0.51,MLR,0.42,-0.16,0.14,0.01
"[111L, 139L, 144L, 171L, 235L, 317L]",0.52,MLR,0.34,0.02,-0.22,0.14
"[21L, 122L, 184L, 248L]",0.52,MLR,0.15,-0.06,-0.1,0.24
"[150L, 185L, 217L]",0.52,MLR,0.02,-0.14,0.01,0
"[55L, 108L, 137L, 151L, 164L, 184L, 217L]",0.53,MLR,0.28,-0.03,-0.21,-0.12
"[122L, 144L, 203L, 225L, 300L, 379L]",0.54,MLR,0.13,-0.15,-0.09,-0.23
"[84L, 88L, 104L, 106L, 128L, 341L, 375L]",0.54,MLR,0.2,-0.07,-0.22,-0.38
"[74L, 97L, 164L, 320L, 324L, 341L]",0.54,MLR,0.3,-0.21,0.06,0.16
"[1L, 35L, 117L, 207L, 232L, 286L, 363L]",0.54,MLR,0.12,-0.21,0.01,0.24
"[278L, 349L, 355L]",0.55,MLR,0.17,0.01,-0.37,-0.57
"[10L, 231L, 334L, 358L]",0.56,MLR,0.05,-0.13,-0.19,-0.33
"[124L, 131L, 144L, 320L]",0.56,MLR,0.06,-0.14,-0.18,-0.22
"[84L, 106L, 253L, 276L, 375L]",0.57,MLR,0.13,-0.08,-0.37,-0.91
"[37L, 87L, 140L, 222L]",0.57,MLR,0.09,-0.1,-0.31,-0.24
"[65L, 176L, 218L, 290L, 337L, 338L]",0.57,MLR,0.19,-0.07,-0.34,-0.29
"[51L, 85L, 133L, 194L, 358L, 368L, 381L]",0.57,MLR,0.14,-0.14,-0.23,-0.34
"[58L, 194L, 226L, 235L, 284L, 323L, 365L]",0.59,MLR,0.23,-0.07,-0.51,-0.07
"[76L, 106L, 126L, 139L, 265L, 291L, 347L, 374L]",0.59,MLR,0.15,-0.45,0.18,0.08
"[1L, 3L, 119L, 192L, 246L, 274L]",0.62,MLR,0.24,-0.02,-0.71,-0.56
"[42L, 72L, 122L, 178L, 211L, 302L, 317L]",0.62,MLR,0.13,-0.27,-0.31,-0.31
"[9L, 109L, 115L, 121L, 225L, 239L, 261L, 299L, 308L, 327L]",0.62,MLR,0.23,-0.19,-0.44,-0.72
"[0L, 121L, 234L, 286L, 317L]",0.63,MLR,0.23,-0.05,-0.71,-0.56
"[48L, 50L, 61L, 133L, 155L, 324L, 371L, 376L]",0.63,MLR,0.27,-0.29,-0.35,-0.31
"[5L, 16L, 45L, 143L, 153L, 206L, 288L, 318L, 380L]",0.63,MLR,0.24,-0.32,-0.31,-0.15
"[1L, 14L, 152L, 159L, 257L, 303L, 318L, 321L, 323L, 381L]",0.64,MLR,0.32,-0.09,-0.7,-0.9
"[28L, 108L, 152L, 350L, 357L, 367L]",0.66,MLR,0.23,-0.02,-0.94,-0.99
"[59L, 126L, 164L, 184L, 198L, 211L, 237L, 239L, 297L]",0.69,MLR,0.43,-0.38,-0.49,-0.24
"[36L, 57L, 149L, 221L, 276L, 354L]",0.7,MLR,0.08,-0.28,-0.73,-0.58
"[88L, 110L, 111L, 126L, 208L, 252L, 270L, 328L]",0.71,MLR,0.36,-0.16,-0.98,-1.69
"[5L, 145L, 191L, 289L, 322L, 338L, 367L]",0.72,MLR,0.15,-0.17,-1.05,-1.59
"[1L, 27L, 32L, 61L, 274L]",0.73,MLR,0.19,-0.15,-1.14,-1.95
"[199L, 282L, 361L, 372L]",0.73,MLR,0.04,-0.8,-0.03,0
"[21L, 49L, 58L, 95L, 104L, 179L, 183L, 265L, 295L, 298L, 311L]",0.84,MLR,-0.11,-0.81,-0.63,-1.83
"[51L, 58L, 105L, 124L, 186L, 218L, 236L]",0.84,MLR,0.06,-0.98,-0.37,-0.32
"[33L, 49L, 90L, 123L, 133L, 149L, 213L, 333L, 366L]",0.85,MLR,0.09,-0.66,-0.94,-0.94
"[15L, 137L, 205L, 294L, 308L]",0.92,MLR,0.13,-0.11,-2.24,-2.73
"[85L, 113L, 139L, 156L, 189L, 229L, 321L, 360L]",1.18,MLR,0.29,-1.85,-0.74,-0.27
"[0L, 67L, 78L, 99L, 263L, 273L, 285L]",1.35,MLR,0.16,-0.26,-4.37,-3.22
"[12L, 65L, 89L, 156L, 177L, 241L, 284L, 285L, 301L, 302L, 327L, 350L]",1.56,MLR,0.25,-0.47,-5.19,-4.47
"[113L, 200L, 251L, 270L, 284L, 346L, 361L]",4.22,MLR,0.29,-0.01,-20.74,-251.72
